t,x,y,yaw,v,vy,yaw_rate
116.595,-0.08939772819093961,3.9388288933538244e-05,-2.068213522821117e-05,0.00024218121398647888,-1.2694776953519394e-05,7.20218549385034e-07
116.629,-0.08942391849525166,3.94000180763967e-05,-2.068816458727342e-05,0.00024218121411646615,-1.269765354697633e-05,7.239710788134758e-07
116.663,-0.08945010879954585,3.9411748863514676e-05,-2.0694198505884184e-05,0.00024218121454365634,-1.2697821410905537e-05,7.241369834507578e-07
116.697,-0.08947629910382215,3.9423481494448376e-05,-2.0700232527202024e-05,0.00024218121532811033,-1.269483290161146e-05,7.20241136734217e-07
116.731,-0.0895024894080807,3.943521271475338e-05,-2.070626531843411e-05,0.00024218121575443196,-1.2694870566383622e-05,7.203393559716959e-07
116.765,-0.08952867971232192,3.94469419297053e-05,-2.0712295288450315e-05,0.0002421812157697692,-1.2698716666918345e-05,7.252357422729676e-07
116.799,-0.08955487001654527,3.9458675183817724e-05,-2.071832900077731e-05,0.0002421812165509824,-1.269570100189549e-05,7.213353399399356e-07
116.833,-0.08958106032075142,3.947040654311943e-05,-2.072436226279894e-05,0.00024218121696720164,-1.2695692864128904e-05,7.214333462768187e-07
116.867,-0.08960725062494035,3.948213695239909e-05,-2.073039283196715e-05,0.0002421812170838838,-1.2698805864171251e-05,7.25266472661442e-07
116.901,-0.08963344092911163,3.949387066279888e-05,-2.0736426348604285e-05,0.00024218121794970717,-1.269455669037452e-05,7.200777203732806e-07
116.935,-0.0896596312332657,3.950560289646167e-05,-2.0742460341520348e-05,0.00024218121835719512,-1.2694781201614232e-05,7.20252264574779e-07
116.969,-0.0896858215374029,3.9517333759529814e-05,-2.074849048196965e-05,0.00024218121846655773,-1.2697868431597552e-05,7.240918264600794e-07
117.003,-0.08971201184152278,3.952906612191096e-05,-2.0754523237402175e-05,0.00024218121887838054,-1.269786251987495e-05,7.241755786758472e-07
117.037,-0.08973820214562567,3.9540800393001555e-05,-2.0760558167910984e-05,0.00024218121963134073,-1.269488193977307e-05,7.202905819923717e-07
117.071,-0.0897643924497118,3.955253135306061e-05,-2.076658708942977e-05,0.0002421812196438791,-1.2698748059094264e-05,7.251932855823818e-07
117.105,-0.08979058275378071,3.956426397798521e-05,-2.0772620357855787e-05,0.00024218122004050757,-1.269873141024533e-05,7.252832670519556e-07
117.139,-0.08981677305783287,3.957599862891787e-05,-2.0778654712624637e-05,0.00024218122079463621,-1.2695721587131628e-05,7.213679370828274e-07
