completion_percent,compute_budget_ms,compute_max_ms,compute_mean_ms,compute_p95_ms,controller,controller_failures,cte_mae_m,cte_max_abs_m,cte_p95_abs_m,cte_rmse_after_transient_m,cte_rmse_m,deadline_miss_percent,duration_s,heading_rmse_after_transient_deg,heading_rmse_deg,repeat,run_id,samples,scenario,speed_rmse_mps,steering_rate_rms_deg_s,steering_rms_deg,steering_total_variation_deg,summary_path,termination_reason
99.94498598010412,50.0,51.05096800252795,38.36320352389196,41.817080100008745,greybox_mpc,1,0.10711633684895086,1.6871684082378866,0.2637672104572033,0.1247646666303996,0.17303143920684855,0.01836884643644379,272.15,0.4934133882247288,0.637839034888692,1,20260729_010313_lateral_minus_0p5_r1,5444,lateral_minus_0p5,0.41334734926044947,2.5463547574575522,1.7010565163530316,417.03303954495595,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/greybox_mpc/20260729_010313_lateral_minus_0p5_r1/summary.json,path completed
99.92988959580222,50.0,48.84323499572929,37.9646077759922,41.34059224634257,greybox_mpc,0,0.10408151043127428,1.7145976363430377,0.26016851129574037,0.12154038711336017,0.1734783383272097,0.0,271.761,0.43188533185222394,0.5429180788830075,1,20260729_010313_lateral_plus_0p5_r1,5436,lateral_plus_0p5,0.41670166825213056,2.3769502050317746,1.5683975290788699,431.95594166201244,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/greybox_mpc/20260729_010313_lateral_plus_0p5_r1/summary.json,path completed
99.9415868439384,50.0,51.432070998998825,38.27403215856353,41.939707447818364,greybox_mpc,0,0.10582047318912208,1.610811570449399,0.25731147425614653,0.12530738183162296,0.16745494532886954,0.05512679162072767,272.06,0.46845241883691147,0.46850302302939734,1,20260729_010313_nominal_r1,5442,nominal,0.4114214150081794,2.235115973094653,1.519356063227991,404.39685209214116,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/greybox_mpc/20260729_010313_nominal_r1/summary.json,path completed
99.92988959580222,50.0,51.812798003084026,38.05143830082677,41.34275389878894,greybox_mpc,0,0.10406599752387087,1.610814288821514,0.25672228090411076,0.12331789627790997,0.16600726513689135,0.01839926402943882,271.712,0.4609147506591547,0.4608990568310881,2,20260729_010313_nominal_r2,5435,nominal,0.40979859471868774,2.3315881212747085,1.4958855505897168,424.30847200351553,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/greybox_mpc/20260729_010313_nominal_r2/summary.json,path completed
99.94309217448648,50.0,54.81161500210874,37.83068265237462,41.22070380362857,greybox_mpc,0,0.10401894128648552,1.6108155463092402,0.26127866303975167,0.12371688692458267,0.16629654292968937,0.03676470588235294,271.96000000000004,0.47168938088243434,0.47129667356411675,3,20260729_010313_nominal_r3,5440,nominal,0.4111643085309669,2.154040263244293,1.5086301645016784,397.8484158592295,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/greybox_mpc/20260729_010313_nominal_r3/summary.json,path completed
2.008647156445863,50.0,61.198975003208034,40.7203970245166,48.541924996243324,greybox_mpc,0,6.422066422672856,12.647059121109223,9.901597873007587,7.031695105530258,6.991961550441141,1.4997656616153727,320.02299999999997,105.60313149879332,105.26886109664608,1,20260729_010313_yaw_minus_5deg_r1,6401,yaw_minus_5deg,0.9988001879432475,26.491410103610885,28.823335672635956,1599.079158691858,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/greybox_mpc/20260729_010313_yaw_minus_5deg_r1/summary.json,maximum run time reached
1.3326448186419126,50.0,58.76053399697412,40.93216347615054,48.502256999199744,greybox_mpc,0,6.502530157208434,11.152156714177162,9.909068018992265,7.079592717195894,7.0403436340358425,1.8590845180440556,320.00100000000003,105.38884210788154,105.1013337215311,1,20260729_010313_yaw_plus_5deg_r1,6401,yaw_plus_5deg,0.9422673730421292,28.63022824048861,28.954103198731918,1928.958153414095,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/greybox_mpc/20260729_010313_yaw_plus_5deg_r1/summary.json,maximum run time reached
4.250320883494261,50.0,40.807421995850746,28.491689472746447,32.78754399798345,kinematic_mpc,2,7.736020618169615,12.652854884130626,11.94952283492297,8.310943550876518,8.257633887450918,0.0,319.997,102.67422540996964,102.38560693385709,1,20260729_010313_lateral_minus_0p5_r1,6401,lateral_minus_0p5,1.4559628654930272,25.676975320420016,29.792296690077354,1269.7079209908072,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/kinematic_mpc/20260729_010313_lateral_minus_0p5_r1/summary.json,maximum run time reached
2.5606074127601923,50.0,42.31765399890719,28.43489379848908,33.000368602370145,kinematic_mpc,5,8.93917996545634,20.07045619792727,17.013028553265794,9.963236684525194,9.863205788965919,0.0,208.048,105.26289733202519,104.79236195189274,1,20260729_010313_lateral_plus_0p5_r1,4162,lateral_plus_0p5,1.357073576690758,28.04086870522704,29.906162274517733,872.8921082039227,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/kinematic_mpc/20260729_010313_lateral_plus_0p5_r1/summary.json,diverged: |CTE| >= 20.00 m
1.7378802372730067,50.0,43.506392998097,28.36522790793881,32.543629554493236,kinematic_mpc,0,10.41202200603592,20.02250125582253,17.852980615907473,11.448367827807454,11.344267794937522,0.0,247.05300000000003,107.03296094157945,106.5776230418692,1,20260729_010313_nominal_r1,4942,nominal,1.201917914173326,27.1454416395142,29.806575627764285,1061.5820404202107,/home/dev/code/polarquest/ws/src/polaris_system_id/src/analysis/data/controller_comparison_batches/20260729_010313/kinematic_mpc/20260729_010313_nominal_r1/summary.json,diverged: |CTE| >= 20.00 m
