t,x,y,yaw,v,steering_angle,speed
19.972,-0.009990391053699959,6.629537221869459e-06,-3.5246593164117712e-06,0.06479514982124379,0.0,0.7330601215362549
19.992,-0.008584235174883364,6.631512043180738e-06,-3.5285742394641773e-06,0.07314310912974283,0.0,0.7330601215362549
20.012,-0.007093339125784701,6.6331823580534165e-06,-3.5324791554103285e-06,0.08144585129323813,0.0,0.7330601215362549
20.032,-0.005377839788921916,6.634051220339538e-06,-3.536077524568526e-06,0.08962871801964296,0.0,0.7330601215362549
20.052,-0.003524488615511797,6.634421079935186e-06,-3.539781682437848e-06,0.09773795923082586,0.0,0.7330601215362549
20.072,-0.0015332856055542939,6.63429193684036e-06,-3.543591627686027e-06,0.10577357492678678,0.0,0.7330601215362549
20.092,0.0006745099237575002,6.633379490773117e-06,-3.5473133430663495e-06,0.11369342885614435,0.0,0.7330601215362549
20.112,0.002963039936737324,6.632174298264275e-06,-3.5510190370402483e-06,0.12157012263069744,0.0,0.7330601215362549
20.131999999999998,0.005490847134182195,6.630096819468963e-06,-3.554779062220348e-06,0.12931883898686802,0.0,0.7330601215362549
20.151999999999997,0.008123082678563385,6.627638666646731e-06,-3.558530145220118e-06,0.13701166134758336,0.0,0.7330601215362549
20.171999999999997,0.010911960743349075,6.62460950278412e-06,-3.5622678149493936e-06,0.14462064271511582,0.0,0.7330601215362549
20.191999999999997,0.013880291639815709,6.6209236046764e-06,-3.5660211872290404e-06,0.15213350352138125,0.0,0.7330601215362549
20.211999999999996,0.016925530892717103,6.6169562490350624e-06,-3.5697812892365732e-06,0.15960516980138936,0.0,0.7330601215362549
20.231999999999996,0.020222503222067676,6.6120616251967766e-06,-3.5735384824597816e-06,0.16694189938349052,0.0,0.7330601215362549
20.251999999999995,0.02359363109172732,6.606893117759195e-06,-3.577297889467701e-06,0.17423884923596936,0.0,0.7330601215362549
20.271999999999995,0.027137788555441505,6.601085548589924e-06,-3.5810624607890418e-06,0.18144297971932943,0.0,0.7330601215362549
20.291999999999994,0.030827575610425432,6.594737811543585e-06,-3.5848287316397887e-06,0.18856892924452692,0.0,0.7330601215362549
20.311999999999994,0.03461444905958932,6.5880299625792015e-06,-3.58859613536211e-06,0.19564275813094928,0.0,0.7330601215362549
20.331999999999994,0.03861581436018568,6.580523769812727e-06,-3.5923651826585967e-06,0.20260134785289774,0.0,0.7330601215362549
20.351999999999993,0.04268781382599005,6.572753624524904e-06,-3.5961341411372416e-06,0.2095219683904167,0.0,0.7330601215362549
20.371999999999993,0.04694702024087874,6.5642824886192836e-06,-3.599902014705947e-06,0.21634192959665052,0.0,0.7330601215362549
20.391999999999992,0.051321110606527276,6.555381558705094e-06,-3.6036708270792417e-06,0.22310006936165244,0.0,0.7330601215362549
20.411999999999992,0.05581008492293586,6.546050834782334e-06,-3.6074405791453046e-06,0.22979638768542235,0.0,0.7330601215362549
20.43199999999999,0.06047953975212882,6.536039185058698e-06,-3.611207837206365e-06,0.23639550677207566,0.0,0.7330601215362549
20.45199999999999,0.0652162652739023,6.5257735007034645e-06,-3.6149739650603863e-06,0.24295838685264604,0.0,0.7330601215362549
20.47199999999999,0.0701523458751354,6.514753587715833e-06,-3.618735531674133e-06,0.2494138141619827,0.0,0.7330601215362549
20.49199999999999,0.07517541914405514,6.503403277031066e-06,-3.6224953365859847e-06,0.25582231304643227,0.0,0.7330601215362549
20.51199999999999,0.08032898141450516,6.491557369800596e-06,-3.6262524996111267e-06,0.26216041929355094,0.0,0.7330601215362549
20.53199999999999,0.0856320129347121,6.479141357532e-06,-3.6300058652294354e-06,0.26841782556856614,0.0,0.7330601215362549
20.55199999999999,0.09099910270481507,6.466481014532778e-06,-3.6337576028167007e-06,0.2746406461412511,0.0,0.7330601215362549
20.57199999999999,0.09657583441117726,6.453016458414532e-06,-3.63750113807626e-06,0.28075018149218667,0.0,0.7330601215362549
20.591999999999988,0.10221431325829074,6.439315321209578e-06,-3.6412434543109384e-06,0.286826321110442,0.0,0.7330601215362549
20.611999999999988,0.10799686876715733,6.425062161468968e-06,-3.644982926598317e-06,0.2928245373524432,0.0,0.7330601215362549
20.631999999999987,0.11390066744087333,6.410340184396922e-06,-3.648716921489381e-06,0.2987571215665087,0.0,0.7330601215362549
20.651999999999987,0.11988529489115583,6.3953056624372486e-06,-3.652447265078962e-06,0.30464595109528364,0.0,0.7330601215362549
20.671999999999986,0.1260484690340508,6.379578869598302e-06,-3.656171182697676e-06,0.3104380418761709,0.0,0.7330601215362549
20.691999999999986,0.13227043419930667,6.363623592634252e-06,-3.6598927160014227e-06,0.3161982597305825,0.0,0.7330601215362549
20.711999999999986,0.1386482093684009,6.347062055116136e-06,-3.6636075693152748e-06,0.3218739808781527,0.0,0.7330601215362549
20.731999999999985,0.14512158589407778,6.33012664118596e-06,-3.66731777834417e-06,0.32749780888389585,0.0,0.7330601215362549
20.751999999999985,0.15169056377633766,6.312817350843725e-06,-3.6710233421999305e-06,0.3330697437478117,0.0,0.7330601215362549
20.771999999999984,0.15840970546653618,6.294918213085097e-06,-3.6747217269095245e-06,0.3385600920450569,0.0,0.7330601215362549
20.791999999999984,0.16518481486708622,6.27679922739911e-06,-3.6784176695725535e-06,0.34402002259510556,0.0,0.7330601215362549
20.811999999999983,0.17212576509293773,6.258028767053772e-06,-3.6821077840087924e-06,0.3493897631953942,0.0,0.7330601215362549
20.831999999999983,0.17913907137517596,6.238971182651843e-06,-3.6857921070776456e-06,0.35472011606236153,0.0,0.7330601215362549
