t,x,y,yaw,speed_measured,x_ref,y_ref,speed_ref,path_index,progress,cte,heading_error,steering_cmd,speed_cmd,compute_time_ms,did_compute,controller_success
0.031000000000000028,33.4,-92.9,-0.7207000000000001,6.636755399356948e-18,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403218250829543,0.04777350821222104,-0.14347886806,5.0,31.084204998478526,True,True
0.07900000000000001,33.399964130847486,-92.89996631180895,-0.7207007873441451,0.010779045667125637,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403218250829543,0.04777350821222104,-0.14347886806,5.0,29.944719997729408,True,True
0.13,33.40000651421856,-92.90000549751525,-0.7207003106496231,8.560635998429111e-05,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403258490050846,0.04777429555636603,-0.14347808071,5.0,30.170072001055814,True,True
0.178,33.40001117895594,-92.9000095801092,-0.7207001174340676,8.380453322875191e-05,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403214402351714,0.047773503535885276,-0.14347887273,5.0,28.87622799971723,True,True
0.22999999999999998,33.39999092809953,-92.89999168798506,-0.7207001329134023,0.0010613452030521888,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403212901725112,0.04777362564628884,-0.14347875062,5.0,30.25765599886654,True,True
0.279,33.399989693159725,-92.89999057243065,-0.7207001260123809,0.0009711624370554542,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403227195982937,0.04777358593468817,-0.14347879034,5.0,30.00017399972421,True,True
0.32899999999999996,33.39998845251382,-92.89998946674271,-0.720700104530511,0.0009556798615900563,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.740322783704062,0.04777363422460201,-0.14347874205,5.0,29.51146799750859,True,True
0.379,33.39998480093126,-92.89998623048244,-0.7207001232468956,0.000925544126023297,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403229926818482,0.04777363570506088,-0.14347874057,5.0,29.23833700333489,True,True
0.43100000000000005,33.39998240470407,-92.89998411135672,-0.7207001351124244,0.0009108819139303456,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403231347116167,0.047773631459116395,-0.14347874481,5.0,31.325235999247525,True,True
0.479,33.39997963745314,-92.89998166607306,-0.7207001377084754,0.0008964840139282389,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403234908788513,0.04777364592069633,-0.14347873035,5.0,30.06729999833624,True,True
