t,x,y,yaw,v,vy,yaw_rate
9.487,-0.006303423568789879,3.235919623845055e-06,-1.6961969099559784e-06,0.00016862099964597512,-1.2693575280562184e-05,7.246190305839344e-07
9.521,-0.0063321122594584,3.2471470418598385e-06,-1.7022208056055633e-06,0.00016877812873085005,-1.2691155314443994e-05,7.214778211539299e-07
9.555,-0.006360795575223066,3.2583733447008633e-06,-1.708242666984106e-06,0.0001689371598863126,-1.269124860359793e-05,7.216250478402699e-07
9.589,-0.0063894734522648156,3.2695999146462598e-06,-1.7142648683124976e-06,0.00016909804314870912,-1.2690230967719097e-05,7.203600369137381e-07
9.623,-0.006418145828456456,3.280824340662123e-06,-1.7202845472381497e-06,0.00016926072858568719,-1.2694465961863636e-05,7.257712122554518e-07
9.657,-0.006446812643336353,3.2920513137025377e-06,-1.726305891676244e-06,0.00016942516857495267,-1.2694598916941997e-05,7.258391469622318e-07
9.691,-0.00647547383807634,3.303280334966889e-06,-1.7323303842776265e-06,0.0001695913155009566,-1.2690228832835068e-05,7.202811743366622e-07
9.724,-0.006504129355451416,3.314506662121842e-06,-1.738351955480788e-06,0.00016975912174863603,-1.2691130449330653e-05,7.215613730209347e-07
9.759,-0.006532779139811873,3.3257339629658314e-06,-1.7443736941041248e-06,0.00016992854200810535,-1.2691213822698006e-05,7.215543417321359e-07
9.793,-0.00656142313705399,3.336960024416637e-06,-1.7503945152580616e-06,0.00017009953087473593,-1.26935780274276e-05,7.245874128721658e-07
9.827,-0.0065900612945927195,3.348187145733633e-06,-1.756415038065607e-06,0.00017027204446861917,-1.2694476302107023e-05,7.257823448540818e-07
9.861,-0.006618693561334266,3.3594157611085357e-06,-1.762437966873115e-06,0.00017044603957945645,-1.2690727229543687e-05,7.212561689912984e-07
9.895,-0.0066473198876477735,3.370644785949601e-06,-1.768462296393318e-06,0.00017062147293864965,-1.269022682384203e-05,7.203954354016624e-07
9.929,-0.006675940225340349,3.3818732045722254e-06,-1.7744838359604327e-06,0.0001707983028322081,-1.2690395130660447e-05,7.204446805724383e-07
9.963,-0.006704554527629414,3.3930990574264e-06,-1.7805033087000093e-06,0.00017097648783934735,-1.2694520034424196e-05,7.257227754443965e-07
9.997,-0.00673316274911695,3.4043277677656257e-06,-1.786525347333795e-06,0.0001711559884173047,-1.2693565479700344e-05,7.246384225943383e-07
10.031,-0.006761764845765628,3.4155563451332433e-06,-1.7925474865905724e-06,0.00017133676441649117,-1.2693626934701824e-05,7.246183337351219e-07
10.065,-0.006790360774872273,3.4267861468386248e-06,-1.7985714016759475e-06,0.00017151877721383816,-1.2691146155717772e-05,7.21544477691197e-07
