t,x,y,yaw,speed_measured,x_ref,y_ref,speed_ref,path_index,progress,cte,heading_error,steering_cmd,speed_cmd,compute_time_ms,did_compute,controller_success
0.030000000000000027,33.4,-92.9,-0.7207000000000001,7.035546500820997e-18,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403218250829543,0.04777350821222104,-0.14347886806,5.0,30.796127000940032,True,True
0.08200000000000002,33.39995623378675,-92.89995895260685,-0.7207010410081597,0.011737620520507355,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403218250829543,0.04777350821222104,-0.14347886806,5.0,32.087936997413635,True,True
0.131,33.4000064454076,-92.9000054368225,-0.7207002767165891,8.568541108863964e-05,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403266897825485,0.04777454922038071,-0.14347782705,5.0,31.452006001927657,True,True
0.18,33.4000111112495,-92.90000952089038,-0.7207001066069549,8.3842495223866e-05,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403214445424334,0.047773522706963334,-0.14347885356,5.0,30.919428001652705,True,True
0.22899999999999998,33.399990895663414,-92.89999166165995,-0.7207001379819234,0.001073907175550167,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403212943480271,0.04777361481917586,-0.14347876145,5.0,29.42834299756214,True,True
0.281,33.3999897236567,-92.89999059965909,-0.7207001274727906,0.000971622055511721,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.740322718063333,0.047773582444323726,-0.14347879383,5.0,31.4990039987606,True,True
0.32999999999999996,33.39998849465265,-92.89998950418452,-0.7207001035789264,0.0009561312503372306,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403227813893836,0.047773635685011584,-0.14347874059,5.0,30.81044400096289,True,True
0.381,33.39998486571366,-92.89998628782114,-0.7207001229249057,0.0009259794116438869,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.740322988891888,0.04777363588295103,-0.14347874039,5.0,31.946873001288623,True,True
0.43000000000000005,33.39998248051231,-92.89998417836593,-0.7207001349899214,0.0009113093603458074,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.740323130186417,0.04777363113712685,-0.14347874513,5.0,30.14681000058772,True,True
0.479,33.39997660291095,-92.89997898659526,-0.7207001453165107,0.0008827578572534638,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403234849460228,0.047773645732755554,-0.14347873054,5.0,30.0028299971018,True,True
