t,x,y,yaw,speed_measured,x_ref,y_ref,speed_ref,path_index,progress,path_dist_m,path_remaining_m,cte,heading_error,steering_cmd,speed_cmd,compute_time_ms,did_compute,controller_success
0.035999999999999976,33.73,-92.524,-0.7207000000000001,2.6567375056853366e-17,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6861977024337982,0.0015573461991253978,-0.20503349677,5.0,36.3477509963559,True,True
0.08800000000000002,33.73,-92.524,-0.7207000000000001,-1.595985539780321e-17,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6861977024337982,0.0015573461991253978,-0.20503349677,5.0,38.95298099814681,True,True
0.138,33.72954423393023,-92.52359275644964,-0.7207011464352694,-0.01333346772952474,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6864220708639723,0.0015392004868801656,-0.20505164248,5.0,38.63857399846893,True,True
0.184,33.72911593108139,-92.52315351740882,-0.7206842603288665,-0.016988799546182005,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.686783152046337,0.0015584926343947814,-0.20503235033,5.0,34.28438300034031,True,True
0.237,33.728072629861565,-92.52221293032085,-0.7206805313009677,-0.02162618855886822,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6880186679701854,0.001571080716483042,-0.20501976225,5.0,37.08623100101249,True,True
0.28400000000000003,33.72739674666764,-92.5216320855395,-0.7207000658837744,-0.025901917623889804,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6887289137545405,0.0015378775000929323,-0.20347355762,5.0,34.27792100410443,True,True
0.33599999999999997,33.72571176158524,-92.52017960091229,-0.7206952817533735,-0.034740515197886276,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6905652885637306,0.0015477394474747719,-0.19516231308,5.0,36.26455499761505,True,True
0.386,33.72471610523625,-92.51931086173654,-0.7206899366724845,-0.03848681330508391,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6916972108117418,0.0015526279524991082,-0.1885691716,5.0,36.231673999282066,True,True
0.43400000000000005,33.72240995187369,-92.51728628494936,-0.7206927889567093,-0.04748195662598777,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6943524113741708,0.0015543006080322996,-0.18303891838,5.0,34.265929003595375,True,True
0.486,33.721081512228054,-92.51611986058384,-0.7206943832316429,-0.05220264540574564,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6958916568590248,0.0015501351558349086,-0.17872707537,5.0,36.921894003171474,True,True
0.536,33.71805372535577,-92.51346167134291,-0.7206929779337655,-0.06213470880473596,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6994269024130155,0.0015503258984939094,-0.17496147357,5.0,36.47547899890924,True,True
0.587,33.71634580283788,-92.51196239199534,-0.7206922719358263,-0.06736324028932343,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.7014333282404714,0.0015503241328911344,-0.1720961839,5.0,37.35566500108689,True,True
0.636,33.71253069865569,-92.50866260007746,-0.7206995891299132,-0.07617749389125315,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.7036063012021845,0.0015496181349519134,-0.16941378624,5.0,36.3600730051985,True,True
0.686,33.71050893105517,-92.50691255414638,-0.7206982132944167,-0.0773594551210065,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.7084192773946696,0.0015569353290385557,-0.16744302898,5.0,36.651046997576486,True,True
0.734,33.7084605538019,-92.50512367256471,-0.7207035009263046,-0.07792377119488744,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.7109715525333602,0.0015555594935419137,-0.16579533715,5.0,34.850732001359574,True,True
0.786,33.709319116316365,-92.5058874008848,-0.7207355313557309,0.11783997584694217,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.7146482043413729,0.001585925024461865,-0.1633217132,5.0,36.646118001954164,True,True
0.8360000000000001,33.71355496401916,-92.50956666120558,-0.7208408312306237,0.214043909894753,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.7124697063354124,0.0015928775548563756,-0.16205181274,5.0,36.48411600443069,True,True
0.8860000000000001,33.72898073243108,-92.52296920122781,-0.7215302737883112,0.3898638783701509,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6987484706102867,0.0019526910751563875,-0.16162759405,5.0,36.78096999647096,True,True
0.9359999999999999,33.74007368073432,-92.53267769138114,-0.7223579323110665,0.486243465760404,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6876093346648193,0.00238761998743664,-0.16175308428,5.0,37.064962001750246,True,True
0.984,33.76992535645037,-92.55915289181237,-0.7249215789667943,0.6882798163777636,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6561586509859965,0.0043106001769599445,-0.16266647012,5.0,34.48401700006798,True,True
1.035,33.78812917443832,-92.57556108417411,-0.726891867787942,0.75599916205548,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6354325708231232,0.005778925165919713,-0.16319745906,5.0,35.52200699778041,True,True
1.084,33.83100316610644,-92.61357840228463,-0.7315771117648572,0.9401423578720758,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.586408206217402,0.00962454563431514,-0.16583824211,5.0,34.31114299746696,True,True
1.135,33.85580131020059,-92.63591954961599,-0.7345523160732688,1.0093384345404135,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.5575245875213215,0.01243445796398257,-0.16664842789,5.0,35.350124999240506,True,True
1.185,33.910312037117066,-92.68552202604538,-0.7416805526437397,1.1767830700695545,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.49210097601635,0.01918270893254359,-0.1701014627,5.0,35.64158100198256,True,True
