t,x,y,yaw,v,vy,yaw_rate
21.592,-0.016143613286346614,7.244694187804591e-06,-3.841435826543497e-06,0.0002233853197422278,-1.2691761137852982e-05,7.216536034520741e-07
21.626,-0.016170441298145155,7.255974483945569e-06,-3.847456498896928e-06,0.00022346518191277396,-1.2694925730239773e-05,7.255404354639552e-07
21.66,-0.016197266600306848,7.267256269132701e-06,-3.853479790290067e-06,0.0002235447103189561,-1.2694904772247543e-05,7.256423305532277e-07
21.694,-0.016224089204166403,7.278539995280542e-06,-3.859505176691321e-06,0.0002236239063434758,-1.2691847662046365e-05,7.21619536304229e-07
21.728,-0.01625090912101279,7.2898223315401485e-06,-3.865527932479226e-06,0.00022370277067011789,-1.2691888808189158e-05,7.217169502671846e-07
21.762,-0.016277726362091793,7.301103349696578e-06,-3.871549868158618e-06,0.00022378130470967507,-1.2693997541343785e-05,7.244259478128334e-07
21.796,-0.016304540938603784,7.312387552232871e-06,-3.8775734327961594e-06,0.00022385951044994043,-1.2690764448237673e-05,7.203489318861393e-07
21.83,-0.01633135286170606,7.323670066025415e-06,-3.883598041449991e-06,0.00022393738837534329,-1.269087821061964e-05,7.205015660207035e-07
21.864,-0.016358162142512067,7.33495162740514e-06,-3.889618121515409e-06,0.00022401493984273893,-1.2694028717567906e-05,7.24380340733636e-07
21.898,-0.01638496879209017,7.346234324795191e-06,-3.8956422512993335e-06,0.00022409216663686268,-1.2694032075622168e-05,7.245066125812434e-07
21.932,-0.016411772821466553,7.357519211671318e-06,-3.90166683975602e-06,0.00022416907011205134,-1.26909782178771e-05,7.204694796459349e-07
21.966,-0.016438574241623094,7.3688024483848164e-06,-3.907690364988515e-06,0.000224245650910292,-1.2690979052172695e-05,7.20584115816903e-07
22.0,-0.016465373063498046,7.380084539844649e-06,-3.9137116815593075e-06,0.00022432191036726918,-1.2694169965184368e-05,7.244765238155036e-07
22.034,-0.01649216929798658,7.391367364494184e-06,-3.9197334154627296e-06,0.00022439785020619937,-1.2694902841962037e-05,7.256106092311271e-07
22.068,-0.016518962955940686,7.402652646418876e-06,-3.925759101971541e-06,0.00022447347186755294,-1.2691782076504023e-05,7.2159540450301e-07
22.102,-0.01654575404816927,7.413935016764816e-06,-3.931778657191944e-06,0.000224548775697537,-1.2694739529015548e-05,7.25429163451054e-07
22.136,-0.0165725425854385,7.42521905588018e-06,-3.9378034944252215e-06,0.00022462376376312975,-1.2694923666418867e-05,7.256073062500658e-07
22.17,-0.01659932857847124,7.436505155445664e-06,-3.943827647808118e-06,0.00022469843739071442,-1.2691859830143189e-05,7.215836657855074e-07
22.204,-0.016626112037948504,7.447789313054981e-06,-3.949851703804874e-06,0.00022477279718666784,-1.2691860761988827e-05,7.216970569434266e-07
22.238,-0.01665289297450756,7.4590725320082376e-06,-3.9558725440983965e-06,0.0002248468444701209,-1.2695062636201064e-05,7.255921517017658e-07
22.272,-0.0166796713987446,7.4703573428035e-06,-3.961896001532378e-06,0.00022492058108148608,-1.2694021299298485e-05,7.244812453787123e-07
22.306,-0.016706447321212403,7.481643753720536e-06,-3.967921249927213e-06,0.00022499400814453155,-1.2690918535338487e-05,7.204348245234093e-07
22.34,-0.016733220752423006,7.49292870735882e-06,-3.973944068715031e-06,0.00022506712637685702,-1.2690906736484431e-05,7.20524754501214e-07
22.374,-0.01675999170284448,7.504212279398491e-06,-3.979965869972603e-06,0.0002251399370217208,-1.269403943881372e-05,7.244327430514561e-07
22.408,-0.016786760182904925,7.515499299984686e-06,-3.985989602577314e-06,0.00022521244218756784,-1.2690823432723939e-05,7.203831308087631e-07
22.442,-0.016813526202989926,7.526784670037312e-06,-3.992014273434918e-06,0.00022528464218891063,-1.2690962730122956e-05,7.205347856175497e-07
22.476,-0.01684028977344265,7.538069131330808e-06,-3.998034543370596e-06,0.00022535653831822844,-1.2694145194687954e-05,7.24427925472565e-07
22.51,-0.016867050904566527,7.5493547722905585e-06,-4.004058770105441e-06,0.00022542813228758774,-1.2694177326164937e-05,7.245538019272355e-07
22.544,-0.016893809606621568,7.560641594865159e-06,-4.010082396408273e-06,0.00022549942530755902,-1.2691836133769953e-05,7.215610704149548e-07
22.578,-0.016920565889828265,7.571927565402102e-06,-4.016105710525578e-06,0.0002255704181120758,-1.2691807101744234e-05,7.216567405666934e-07
22.612,-0.016947319764366142,7.5832122515690394e-06,-4.022127092733785e-06,0.0002256411118849856,-1.2694940832896156e-05,7.25533826113215e-07
22.646,-0.016974071240371758,7.594498620198165e-06,-4.028149891216205e-06,0.00022571150834883988,-1.2694937261415436e-05,7.256228818718244e-07
22.68,-0.01700082032794248,7.605786748614886e-06,-4.034175775986676e-06,0.00022578160872705182,-1.2691852370109107e-05,7.216248804988187e-07
22.714,-0.01702756703713526,7.617072185794997e-06,-4.04019571056907e-06,0.00022585141338180026,-1.2694931556029866e-05,7.255141597482923e-07
22.748,-0.017054311377965314,7.62835896381016e-06,-4.04622033180848e-06,0.0002259209242926458,-1.2695050304092454e-05,7.256552662050779e-07
22.782,-0.017081053360407772,7.639648050808738e-06,-4.052244752959884e-06,0.00022599014280848988,-1.2690957326224158e-05,7.204117656197678e-07
22.816,-0.017107792994398907,7.650934914999675e-06,-4.058268731351393e-06,0.00022605906929848906,-1.2690925889274288e-05,7.205168131956274e-07
22.85,-0.01713453028983314,7.662220747214493e-06,-4.064289599933521e-06,0.0002261277050979875,-1.2694073648583193e-05,7.243937555650447e-07
22.884,-0.017161265256564917,7.673508138653797e-06,-4.070312856596696e-06,0.0002261960518915567,-1.2694052140953446e-05,7.244905280263008e-07
22.918,-0.017187997904409946,7.68479733452849e-06,-4.076338333089759e-06,0.0002262641108944116,-1.2690954962605555e-05,7.204562090883386e-07
22.951999999999998,-0.01721472824314385,7.69608253127221e-06,-4.082357435581415e-06,0.00022633188240468044,-1.2693565875677371e-05,7.242147025704703e-07
22.986,-0.017241456282500622,7.707371660021033e-06,-4.08838317304941e-06,0.00022639936840429336,-1.2694143903977158e-05,7.244874342735268e-07
23.02,-0.017268182032178503,7.718661767367323e-06,-4.094407236495795e-06,0.0002264665701152247,-1.2691048724097013e-05,7.20461461765092e-07
23.054,-0.017294905501833435,7.729948999374045e-06,-4.1004306166919775e-06,0.0002265334879823388,-1.269182852106526e-05,7.216311821838208e-07
23.088,-0.017321626701083503,7.741236095799594e-06,-4.106451027671578e-06,0.0002266001233794116,-1.2694984425234147e-05,7.255073785871943e-07
23.122,-0.0173483456395066,7.752524378548722e-06,-4.112474958111026e-06,0.0002266664778733901,-1.2694949620963172e-05,7.256141781363739e-07
23.156,-0.017375062326643542,7.763814709311941e-06,-4.118499907044313e-06,0.00022673255267635943,-1.2691866404894945e-05,7.215759951857367e-07
23.19,-0.01740177677199395,7.77510353559519e-06,-4.124523126589038e-06,0.00022679834829914891,-1.2691857632313533e-05,7.216739672249756e-07
23.224,-0.017428488985020918,7.786391037161591e-06,-4.130544814242177e-06,0.00022686386592013301,-1.2694997182943672e-05,7.255704742969428e-07
23.258,-0.017455198975148134,7.797681193851253e-06,-4.136568081898342e-06,0.00022692910751374168,-1.2691505428132602e-05,7.214326603170261e-07
23.292,-0.017481906751759868,7.80897130879308e-06,-4.142593608673069e-06,0.00022699407332558877,-1.269195671829124e-05,7.216785521469e-07
23.326,-0.01750861232420453,7.82025979117313e-06,-4.148613825797319e-06,0.00022705876462159698,-1.2694054408484787e-05,7.243473417090476e-07
23.36,-0.01753531570178979,7.831549136019527e-06,-4.15463819362062e-06,0.0002271231828454484,-1.26940653229252e-05,7.244643375530775e-07
23.394,-0.017562016893787114,7.842840679749742e-06,-4.160662740499182e-06,0.0002271873292819149,-1.2690997096431219e-05,7.204316911755024e-07
23.428,-0.017588715909428898,7.854130438411582e-06,-4.166686470309787e-06,0.00022725120438950373,-1.2690960237611063e-05,7.205321438052085e-07
23.462,-0.017615412757911675,7.865419046628401e-06,-4.172707683993944e-06,0.0002273148093481065,-1.2694104560048575e-05,7.244051726477434e-07
23.496,-0.017642107448391453,7.876709349815378e-06,-4.17873089027605e-06,0.00022737814577657243,-1.269413012266678e-05,7.245167447535153e-07
23.53,-0.017668799989989048,7.888001421194335e-06,-4.184756693335041e-06,0.00022744121481667703,-1.2691055466498396e-05,7.205187519449426e-07
23.564,-0.01769549039178786,7.899290666152531e-06,-4.1907765897334385e-06,0.00022750401670130495,-1.2694060417252717e-05,7.243607239561108e-07
23.598,-0.017722178662832766,7.910580622211106e-06,-4.1968004043990774e-06,0.00022756655325197235,-1.2694967410623678e-05,7.255748258937746e-07
23.632,-0.017748864812132226,7.921873332964156e-06,-4.202824713302429e-06,0.0002276288257939326,-1.269188764407685e-05,7.215495904737007e-07
23.666,-0.01777554884865873,7.933164085086449e-06,-4.208848799355908e-06,0.0002276908346907394,-1.2691859491354943e-05,7.216524484938903e-07
23.7,-0.017802230781346462,7.944453853055561e-06,-4.214869692177334e-06,0.0002277525810843032,-1.2695016383948156e-05,7.255267594405386e-07
23.734,-0.017828910619093086,7.955745106785517e-06,-4.220893183306713e-06,0.0002278140665568873,-1.2694995823091049e-05,7.256301616864659e-07
23.768,-0.017855588370760955,7.9670382214643e-06,-4.226918673937527e-06,0.00022787529223355625,-1.2691914078851667e-05,7.216033582523163e-07
23.802,-0.01788226404517479,7.978329950440133e-06,-4.232941637604896e-06,0.00022793625858999347,-1.2691937221886128e-05,7.216981709453276e-07
23.836,-0.01790893765112389,7.98962034526522e-06,-4.2389637006197905e-06,0.000227996966700553,-1.2695096327971305e-05,7.25617498084973e-07
23.87,-0.01793560919736048,8.000914394269004e-06,-4.244987894757717e-06,0.00022805741857741496,-1.2690938892203437e-05,7.203843165799034e-07
