t,x,y,yaw,v,vy,yaw_rate
11.36,-7.465568657600942e-05,-2.608886502491191e-13,7.1760706572249845e-09,-7.009348159827729e-06,0.0,6.937392376829137e-10
11.38,-7.479587427843818e-05,-2.618946471070219e-13,7.189945753066936e-09,-7.009385121437919e-06,0.0,6.937547920975423e-10
11.4,-7.493606272020379e-05,-2.629025943985236e-13,7.203821160014714e-09,-7.0094220882803025e-06,0.0,6.937703473889585e-10
11.42,-7.507625190119081e-05,-2.63912492186923e-13,7.217696878064075e-09,-7.009459049350923e-06,0.0,6.937859024680372e-10
11.44,-7.521644182147409e-05,-2.649243405368877e-13,7.231572907228049e-09,-7.009496014164506e-06,0.0,6.938014581987015e-10
11.46,-7.535663248108118e-05,-2.6593813951274875e-13,7.245449247518096e-09,-7.009532980354254e-06,0.0,6.938170145023456e-10
11.48,-7.549682388002293e-05,-2.6695388917871975e-13,7.259325898942471e-09,-7.009569947087311e-06,0.0,6.938325712187205e-10
11.5,-7.563701601824385e-05,-2.679715895985351e-13,7.273202861502081e-09,-7.009606911046422e-06,0.0,6.93848127980562e-10
11.52,-7.577720889584937e-05,-2.689912408370977e-13,7.28708013521532e-09,-7.009643880275679e-06,0.0,6.938636856619424e-10
11.54,-7.591740251278826e-05,-2.700128429581771e-13,7.300957720082742e-09,-7.009680846944879e-06,0.0,6.938792433710564e-10
11.56,-7.605759686917001e-05,-2.7103639602671443e-13,7.314835616122361e-09,-7.009717819087268e-06,0.0,6.938948019809311e-10
11.58,-7.619779196491398e-05,-2.7206190010626816e-13,7.3287138233349326e-09,-7.009754787198728e-06,0.0,6.939103606285897e-10
11.6,-7.633798780004064e-05,-2.7308935526113494e-13,7.3425923417288845e-09,-7.009791756333362e-06,0.0,6.939259196976047e-10
11.62,-7.647818437460282e-05,-2.7411876155585183e-13,7.356471171316627e-09,-7.009828728109157e-06,0.0,6.939414793870702e-10
11.64,-7.66183816886153e-05,-2.7515011905468066e-13,7.370350312106022e-09,-7.009865700623829e-06,0.0,6.939570394697701e-10
11.66,-7.675857974206428e-05,-2.76183427821675e-13,7.3842297641028866e-09,-7.0099026724489215e-06,0.0,6.939725998432084e-10
11.68,-7.689877853497716e-05,-2.772186879211936e-13,7.398109527317892e-09,-7.009939645644413e-06,0.0,6.939881607502373e-10
11.7,-7.703897806728362e-05,-2.782558994168755e-13,7.411989601750474e-09,-7.0099766153227824e-06,0.0,6.940037216291661e-10
11.72,-7.717917833913175e-05,-2.7929506237397644e-13,7.4258699874224794e-09,-7.010013592406402e-06,0.0,6.940192836002516e-10
11.74,-7.731937935052301e-05,-2.803361768566731e-13,7.4397506843404535e-09,-7.0100505695629124e-06,0.0,6.940348458986762e-10
11.76,-7.7459581101408e-05,-2.813792429287655e-13,7.453631692506687e-09,-7.01008754424991e-06,0.0,6.940504083116406e-10
11.78,-7.759978359184123e-05,-2.8242426065482694e-13,7.46751301193531e-09,-7.010124521661165e-06,0.0,6.940659714311944e-10
11.8,-7.773998682177732e-05,-2.8347123009869005e-13,7.481394642628238e-09,-7.0101614968045495e-06,0.0,6.940815346463393e-10
11.82,-7.788019079126055e-05,-2.845201513248571e-13,7.495276584596253e-09,-7.010198474161296e-06,0.0,6.940970984007646e-10
11.84,-7.802039550032305e-05,-2.855710243977434e-13,7.509158837848942e-09,-7.010235453124972e-06,0.0,6.941126626344393e-10
11.86,-7.816060094896522e-05,-2.8662384938152936e-13,7.523041402394301e-09,-7.0102724321087035e-06,0.0,6.941282272680789e-10
11.88,-7.830080713724058e-05,-2.876786263407968e-13,7.536924278244818e-09,-7.010309413768111e-06,0.0,6.941437925257255e-10
11.9,-7.844101406508921e-05,-2.887353553392773e-13,7.550807465401732e-09,-7.010346392431722e-06,0.0,6.941593578458113e-10
11.92,-7.858122173258304e-05,-2.897940364416963e-13,7.564690963879355e-09,-7.010383374691428e-06,0.0,6.941749238810605e-10
11.94,-7.872143013967299e-05,-2.908546697118695e-13,7.57857477368078e-09,-7.010420354497269e-06,0.0,6.941904900713274e-10
11.96,-7.886163928647158e-05,-2.9191725521483664e-13,7.59245889482356e-09,-7.010457339929495e-06,0.0,6.942060571389139e-10
11.98,-7.900184917291114e-05,-2.9298179301427697e-13,7.60634332730817e-09,-7.010494321978473e-06,0.0,6.942216242305791e-10
12.0,-7.914205979902529e-05,-2.9404828317463806e-13,7.620228071144348e-09,-7.010531305707635e-06,0.0,6.942371918088138e-10
12.02,-7.9282271164817e-05,-2.951167257601375e-13,7.634113126339567e-09,-7.01056828958555e-06,0.0,6.942527597608892e-10
12.04,-7.942248327030328e-05,-2.9618712083510197e-13,7.64799849290347e-09,-7.010605274313463e-06,0.0,6.942683281951714e-10
12.06,-7.956269611550737e-05,-2.972594684639086e-13,7.661884170844767e-09,-7.0106422602045015e-06,0.0,6.942838970648452e-10
12.08,-7.970290970044292e-05,-2.983337687108637e-13,7.675770160171993e-09,-7.010679246777969e-06,0.0,6.942994663612313e-10
12.1,-7.984312402513474e-05,-2.994100216403619e-13,7.689656460894783e-09,-7.010716234591279e-06,0.0,6.94315036139541e-10
12.12,-7.998333908958143e-05,-3.004882273165992e-13,7.703543073020183e-09,-7.010753222334506e-06,0.0,6.943306062700518e-10
12.14,-8.012355489382695e-05,-3.0156838580412275e-13,7.717429996560512e-09,-7.010790212276197e-06,0.0,6.94346177016361e-10
12.16,-8.026377143784886e-05,-3.026504971669715e-13,7.731317231519947e-09,-7.010827201095655e-06,0.0,6.943617479717622e-10
12.18,-8.040398872164427e-05,-3.037345614693358e-13,7.745204777904606e-09,-7.01086418977007e-06,0.0,6.943773192330362e-10
12.2,-8.054420674528087e-05,-3.048205787759544e-13,7.75909263572994e-09,-7.0109011818303684e-06,0.0,6.943928912666601e-10
12.22,-8.068442550873303e-05,-3.059085491508472e-13,7.772980804998254e-09,-7.010938172608011e-06,0.0,6.944084634156613e-10
12.24,-8.082464501203858e-05,-3.069984726585277e-13,7.786869285722036e-09,-7.010975165278076e-06,0.0,6.944240361891145e-10
12.26,-8.096486525518641e-05,-3.0809034936313197e-13,7.800758077906587e-09,-7.011012157391387e-06,0.0,6.944396092276868e-10
12.28,-8.110508623820555e-05,-3.091841793291105e-13,7.814647181561975e-09,-7.011049150956821e-06,0.0,6.944551827692801e-10
12.3,-8.124530796108845e-05,-3.102799626206312e-13,7.828536596694629e-09,-7.0110861441453485e-06,0.0,6.944707566327341e-10
12.32,-8.138553042389163e-05,-3.113776993023645e-13,7.842426323317333e-09,-7.011123140158887e-06,0.0,6.944863311352161e-10
12.34,-8.152575362660288e-05,-3.124773894384472e-13,7.856316361435286e-09,-7.011160135563311e-06,0.0,6.945019058976518e-10
12.36,-8.166597756921306e-05,-3.1357903309304046e-13,7.870206711055539e-09,-7.01119713050861e-06,0.0,6.945174810127386e-10
12.38,-8.180620225178267e-05,-3.1468263033085545e-13,7.884097372191277e-09,-7.011234128480799e-06,0.0,6.945330567868833e-10
