t,x,y,yaw,v,vy,yaw_rate
11.94,-0.0001421279143136989,-1.3725574867431785e-12,1.9608496110843302e-08,-1.2682478057571924e-05,0.0,1.7829962517039869e-09
11.96,-0.00014238156589759264,-1.3775312128394684e-12,1.964415721145722e-08,-1.2682579194687291e-05,0.0,1.7830550306956347e-09
11.98,-0.00014263521950423497,-1.3825140241656034e-12,1.9679819487639313e-08,-1.2682680332116455e-05,0.0,1.7831138091044364e-09
12.0,-0.00014288887513357718,-1.3875059211630816e-12,1.9715482939368786e-08,-1.2682781467110549e-05,0.0,1.7831725864734742e-09
12.02,-0.00014314253278565632,-1.3925069042750882e-12,1.9751147566638304e-08,-1.2682882603957022e-05,0.0,1.7832313634759148e-09
12.04,-0.0001433961924604529,-1.3975169739437014e-12,1.978681336942978e-08,-1.2682983739829893e-05,0.0,1.7832901395735892e-09
12.06,-0.00014364985415788972,-1.402536130609856e-12,1.9822480347719804e-08,-1.2683084871839944e-05,0.0,1.7833489145010141e-09
12.08,-0.00014390351787793904,-1.4075643747154632e-12,1.985814850149194e-08,-1.2683186002465829e-05,0.0,1.7834076886066449e-09
12.1,-0.00014415718362052773,-1.4126017067015306e-12,1.9893817830721952e-08,-1.268328712943426e-05,0.0,1.7834664615003687e-09
12.12,-0.00014441085138586023,-1.4176481270145815e-12,1.992948833542604e-08,-1.2683388266624691e-05,0.0,1.7835252352042362e-09
12.14,-0.00014466452117390055,-1.4227036360963812e-12,1.9965160015583787e-08,-1.2683489402016682e-05,0.0,1.7835840078871628e-09
12.16,-0.00014491819298463742,-1.4277682343891858e-12,2.0000832871181057e-08,-1.2683590536843855e-05,0.0,1.7836427798633901e-09
12.18,-0.00014517186681802213,-1.432841922334505e-12,2.0036506902199863e-08,-1.2683691669234891e-05,0.0,1.783701550940126e-09
12.2,-0.00014542554267394864,-1.4379247003726979e-12,2.0072182108612746e-08,-1.2683792796324792e-05,0.0,1.7837603206439916e-09
12.22,-0.0001456792205524238,-1.443016568946378e-12,2.0107858490405307e-08,-1.2683893923758379e-05,0.0,1.7838190896279485e-09
12.24,-0.0001459329004533836,-1.4481175284967377e-12,2.0143536047554586e-08,-1.2683995047990277e-05,0.0,1.7838778574637524e-09
12.26,-0.00014618658237693018,-1.4532275794683112e-12,2.0179214780063803e-08,-1.2684096177329033e-05,0.0,1.7839366254607025e-09
12.28,-0.00014644026632306106,-1.4583467223035403e-12,2.0214894687915835e-08,-1.2684197306543714e-05,0.0,1.7839953926014603e-09
12.3,-0.00014669395229174214,-1.4634749574442302e-12,2.0250575771096153e-08,-1.2684298434053624e-05,0.0,1.7840541590157218e-09
12.32,-0.00014694764028301164,-1.4686122853336504e-12,2.0286258029594765e-08,-1.2684399563475167e-05,0.0,1.7841129249304522e-09
12.34,-0.00014720133029673133,-1.4737587064114996e-12,2.0321941463381083e-08,-1.2684500685984715e-05,0.0,1.7841716893157652e-09
12.36,-0.00014745502233292954,-1.4789142211208453e-12,2.0357626072446535e-08,-1.2684601809909922e-05,0.0,1.7842304532725216e-09
12.38,-0.00014770871639162753,-1.48407882990462e-12,2.0393311856778745e-08,-1.268470293489921e-05,0.0,1.7842892166104205e-09
