t,x,y,yaw,speed_measured,x_ref,y_ref,speed_ref,path_index,progress,path_dist_m,path_remaining_m,cte,heading_error,steering_cmd,speed_cmd,compute_time_ms,did_compute,controller_success
0.03899999999999998,33.39999999999999,-92.9,-0.6334340000000002,5.569579998778707e-18,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107481478161074,-0.08570865380087422,-0.079809589766,5.0,39.234146002854686,True,True
0.08700000000000002,33.39998521004228,-92.89998843921357,-0.6334338976391976,0.0059727963603023754,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107481478161074,-0.08570865380087422,0.40142572796,5.0,37.59916800481733,True,True
0.135,33.40000513825244,-92.90000356625987,-0.6334344116844146,3.216587998549023e-05,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107668906410135,-0.08570875616167717,0.40142572796,5.0,35.70442600175738,True,True
0.185,33.400007254084514,-92.90000510387068,-0.6334341535630233,3.199984632353269e-05,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107406261391137,-0.08570871940412772,0.40142572796,5.0,35.95373199641472,True,True
0.237,33.39998389560661,-92.8999878471701,-0.6334341103737758,0.0009718218549102746,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.610739328163916,-0.08570850023785148,0.40142572796,5.0,37.7244530027383,True,True
0.28600000000000003,33.39997965973407,-92.89998471106323,-0.6334341195916281,0.0009203942963781207,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107706596387135,-0.08570856153622941,0.40142572796,5.0,37.621991003106814,True,True
0.33699999999999997,33.39997694870418,-92.89998270528991,-0.6334341089155712,0.0009058246130557657,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107735222025283,-0.08570853420924651,0.40142572796,5.0,37.26364199974341,True,True
0.388,33.39997034557699,-92.89997782892412,-0.6334341248405966,0.0008774677154849178,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107807329935304,-0.08570852730214185,0.40142572796,5.0,38.49566399730975,True,True
0.43799999999999994,33.39996646820673,-92.89997496792488,-0.6334341355507969,0.0008636718607297428,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107850632063134,-0.08570852896027814,0.40142572796,5.0,38.347437999618705,True,True
0.487,33.39995759655201,-92.89996842524498,-0.6334341462695434,0.0008368235549454948,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107951298644458,-0.08570851515976807,0.40142572796,5.0,37.91806499793893,True,True
