controller,scenario,runs,cte_rmse_m_mean,cte_rmse_m_std,cte_p95_abs_m_mean,cte_p95_abs_m_std,cte_max_abs_m_mean,cte_max_abs_m_std,heading_rmse_deg_mean,heading_rmse_deg_std,steering_rate_rms_deg_s_mean,steering_rate_rms_deg_s_std,compute_mean_ms_mean,compute_mean_ms_std,compute_p95_ms_mean,compute_p95_ms_std,compute_max_ms_mean,compute_max_ms_std,deadline_miss_percent_mean,deadline_miss_percent_std,completion_percent_mean,completion_percent_std,controller_failures_mean,controller_failures_std
greybox_mpc,lateral_minus_0p5,1,0.5421973533897395,0.0,0.836514909205512,0.0,1.687176701013524,0.0,2.6012627747092,0.0,56.17354440511357,0.0,40.637239149165815,0.0,47.42560474733182,0.0,76.91958499344764,0.0,3.8863351441704976,0.0,87.80246323916333,0.0,0.0,0.0
greybox_mpc,lateral_plus_0p5,1,0.5285350973457076,0.0,0.8490751422739926,0.0,1.7146482043413729,0.0,1.6789375000485125,0.0,58.80023997340414,0.0,40.22525829210631,0.0,46.76070250206976,0.0,88.87712100113276,0.0,3.531132469703301,0.0,87.79082517215757,0.0,0.0,0.0
greybox_mpc,nominal,3,0.5310068338495141,0.014116181713274703,0.8201424395999241,0.016620052574680463,1.6108152672095253,6.427314670357444e-07,1.484589424459327,0.1506514786580707,62.26917160615609,6.708243584120575,40.5236204772286,0.49134081164129373,46.61348674865925,0.6968954374512709,76.94587600174903,4.630897106377587,3.1342833733303594,1.233819735282647,87.91113199434622,0.20473993969460755,0.0,0.0
greybox_mpc,yaw_minus_5deg,1,0.5436542728070045,0.0,0.8191782288778651,0.0,1.6270983036211735,0.0,1.417325910353969,0.0,46.021454166192534,0.0,40.93233679838229,0.0,46.26089120247343,0.0,76.65677600016352,0.0,2.1076794657762936,0.0,88.07056805728153,0.0,0.0,0.0
greybox_mpc,yaw_plus_5deg,1,0.5318603594568391,0.0,0.8036611285977969,0.0,1.6108118936143285,0.0,1.7668418835097062,0.0,67.39901090994866,0.0,41.066486964003275,0.0,47.449507198325584,0.0,98.28137300064554,0.0,3.9104976997072356,0.0,87.89558149668927,0.0,0.0,0.0
kinematic_mpc,lateral_minus_0p5,1,0.6264723019499682,0.0,1.0014873987367563,0.0,1.6871518202395217,0.0,10.312064038333517,0.0,74.9083568530816,0.0,31.958987508693372,0.0,40.94810300011886,0.0,66.24206800188404,0.0,0.666527806706936,0.0,84.90781084852405,0.0,0.0,0.0
kinematic_mpc,lateral_plus_0p5,1,0.6291824340282189,0.0,1.0317989783243988,0.0,1.7138661747173736,0.0,10.677071132568551,0.0,86.63179257940223,0.0,32.01274197167344,0.0,41.21755700180074,0.0,62.06704400392482,0.0,0.3957508852322432,0.0,84.78163370448412,0.0,0.0,0.0
kinematic_mpc,nominal,3,0.6383862199440045,0.021808107342553572,1.0243838442226576,0.0860349022379381,1.6327691236932456,0.038039815960803774,10.195719839620677,0.03854584570635004,80.40352139515018,4.11906858977258,31.955385204440933,0.027310741153496507,41.31039799782835,0.37193567512866366,65.06838066707132,11.84192711260821,0.4790668610706103,0.11597093028181674,84.89971926977532,0.2891631605157289,0.6666666666666666,1.1547005383792517
kinematic_mpc,yaw_minus_5deg,1,0.6138181737646204,0.0,0.9181802334723436,0.0,1.624894513277403,0.0,10.106579114133577,0.0,62.82206659767623,0.0,32.055188400549746,0.0,41.02883100131294,0.0,60.808415997598786,0.0,0.6248698187877526,0.0,85.41472213908234,0.0,0.0,0.0
kinematic_mpc,yaw_plus_5deg,1,0.6114147341000311,0.0,0.9102461165921042,0.0,1.6107982327958144,0.0,9.949799318983061,0.0,75.3024498996361,0.0,32.15599791356137,0.0,41.25792199920397,0.0,62.6779429949238,0.0,0.47906686107061025,0.0,85.71673564986565,0.0,0.0,0.0
stanley,lateral_minus_0p5,1,0.12736926103646962,0.0,0.06814366258749555,0.0,1.6871516625869818,0.0,0.43152323158548567,0.0,7.841171477273054,0.0,0.10161501238908416,0.0,0.14774599549127743,0.0,2.220692993432749,0.0,0.0,0.0,88.30432133060025,0.0,0.0,0.0
stanley,lateral_plus_0p5,1,0.1338386501646434,0.0,0.06841379493308081,0.0,1.7143101334737234,0.0,0.4370181552976945,0.0,7.646179352200084,0.0,0.09108179672417749,0.0,0.1032029977068305,0.0,0.4505929973674938,0.0,0.0,0.0,88.1755129428602,0.0,0.0,0.0
stanley,nominal,3,0.12119104173022757,0.002507744459782993,0.06648291956231236,0.0005602682160377785,1.6108187426647502,2.3193968466231645e-05,0.2478261862901197,0.0175173967822063,6.631995517134318,0.11024196876644085,0.09181437659991452,0.0012366117542955755,0.10269566701026633,0.0025482761950428486,0.40877433396720636,0.27731365277863185,0.0,0.0,88.16009674368644,0.11338609999917622,0.0,0.0
stanley,yaw_minus_5deg,1,0.11997920352097557,0.0,0.0654884287923702,0.0,1.6247414584340956,0.0,0.43742413925811713,0.0,6.929555146192881,0.0,0.08954243448520631,0.0,0.10031800047727302,0.0,0.403724996431265,0.0,0.0,0.0,88.23405982652457,0.0,0.0,0.0
stanley,yaw_plus_5deg,1,0.1241068606494902,0.0,0.06637454390699093,0.0,1.610804902325183,0.0,0.4263823343765638,0.0,6.546554074766136,0.0,0.0897639514936709,0.0,0.09894499817164615,0.0,0.30685400270158425,0.0,0.0,0.0,88.09389983777164,0.0,0.0,0.0
