t,x,y,yaw,speed_measured,x_ref,y_ref,speed_ref,path_index,progress,cte,heading_error,steering_cmd,speed_cmd,compute_time_ms,did_compute,controller_success
0.0,33.39999999999999,-92.9,-0.6334340000000002,-1.7209367471732546e-19,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403218250829543,-0.03949249178777858,0.20943951023931956,5.0,0.10721999933593906,True,True
0.04999999999999999,33.39999999999999,-92.9,-0.6334340000000002,2.675794342595299e-17,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403218250829543,-0.03949249178777858,0.4188790204786391,5.0,0.09311399844591506,True,True
0.09999999999999998,33.399943538348346,-92.89995572024048,-0.6334352876626714,0.01228729669252843,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403213135225527,-0.039491204125107426,0.6108652381980153,5.0,0.09552899791742675,True,True
0.15000000000000002,33.400009342263814,-92.90000663800316,-0.6334340349997016,8.518309223739848e-05,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403224485438468,-0.039492456788077224,0.6108652381980153,5.0,0.0772239982325118,True,True
0.2,33.4000118261345,-92.9000084631261,-0.6334340951962147,8.388047818412023e-05,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403225671657926,-0.039492396591564116,0.6108652381980153,5.0,0.09055899863597006,True,True
0.25,33.399989855870636,-92.89999221305257,-0.6334340708657558,0.0009878841839669405,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403216013029742,-0.0394924209220231,0.6108652381980153,5.0,0.08837499990477227,True,True
0.30000000000000004,33.39998897586135,-92.89999155525337,-0.6334341288444527,0.0009720819554341869,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403215680222869,-0.03949236294332614,0.6108652381980153,5.0,0.09223300003213808,True,True
0.35,33.399985939416005,-92.89998929733035,-0.6334341278089476,0.0009413618246260448,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.740321443960548,-0.03949236397883116,0.6108652381980153,5.0,0.08947800233727321,True,True
0.4,33.39998379740298,-92.89998771024486,-0.6334341226347954,0.0009264149855872708,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.740321351958783,-0.03949236915298382,0.6108652381980153,5.0,0.09206200047628954,True,True
0.44999999999999996,33.39997830263799,-92.89998364764227,-0.6334341373510727,0.0008973237847487993,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403211091896258,-0.03949235443670629,0.6108652381980153,5.0,0.09046999912243336,True,True
0.5,33.399974964557906,-92.89998118253116,-0.6334341451404035,0.0008831703192618251,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403209594161673,-0.03949234664737533,0.6108652381980153,5.0,0.09296400094171986,True,True
0.55,33.3999671423299,-92.89997541058202,-0.6334341565498313,0.0008556251607382163,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403206048298276,-0.03949233523794771,0.6108652381980153,5.0,0.08699299723957665,True,True
0.6,33.39996267191953,-92.89997211386957,-0.6334341622599098,0.0008422246694728719,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403204006484593,-0.039492329527869074,0.6108652381980153,5.0,0.08822499876259826,True,True
