t,x,y,yaw,speed_measured,x_ref,y_ref,speed_ref,path_index,progress,cte,heading_error,steering_cmd,speed_cmd,compute_time_ms,did_compute,controller_success
0.030000000000000027,33.4,-92.9,-0.7207000000000001,4.620680691740208e-17,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403218250829543,0.04777350821222104,-0.14347886806,5.0,30.347054002049845,True,True
0.08100000000000002,33.399997944148716,-92.89999814895754,-0.7206994031847686,0.0026947604784898016,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403218250829543,0.04777350821222104,-0.14347886806,5.0,31.885614997008815,True,True
0.13,33.40000706560938,-92.90000598355738,-0.7207004605867382,8.585823249009006e-05,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403219932699807,0.04777291139698958,-0.14347946487,5.0,30.487216001347406,True,True
0.181,33.4000094128913,-92.90000802813057,-0.7206998993046299,8.479788815768589e-05,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403214048043186,0.047773407516850774,-0.14347896875,5.0,31.483211998420302,True,True
0.22999999999999998,33.39999093499528,-92.89999168612505,-0.7207000874790763,0.0010031764025833436,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403212573898039,0.04777368517800529,-0.14347869109,5.0,30.81762499641627,True,True
0.279,33.39999037435206,-92.89999118016742,-0.7207001062845407,0.0009832077862370005,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403226855743971,0.047773595691297466,-0.14347876177,5.0,29.225833000964485,True,True
0.32899999999999996,33.399988103166486,-92.89998915655353,-0.7207001134848168,0.0009520773806231476,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403228031619568,0.04777362111745109,-0.14347875515,5.0,29.59702799853403,True,True
0.38,33.399986378428196,-92.89998762758898,-0.7207001250823405,0.0009369374105191012,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403229014816508,0.047773621697037694,-0.14347875457,5.0,30.445247997704428,True,True
0.43100000000000005,33.39998178671341,-92.89998356512208,-0.7207001356569417,0.0009074705673512576,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403231716248865,0.04777363470759566,-0.14347874156,5.0,32.018352998420596,True,True
0.48,33.39997893311526,-92.89998104398077,-0.7207001394738392,0.0008931341643145792,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403233432944527,0.04777364386916272,-0.1434787324,5.0,30.338145999849075,True,True
0.531,33.39997214359002,-92.8999750513336,-0.7207001518897672,0.000865232481161711,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403237580980849,0.047773654969951895,-0.1434787213,5.0,31.26858900213847,True,True
0.58,33.39996822070684,-92.89997159115877,-0.7207001583111021,0.000851658350004496,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403240002153777,0.04777366010198847,-0.14347871617,5.0,30.270749997725943,True,True
0.63,33.39995935033089,-92.89996377085447,-0.7207001700752356,0.0008252418729999979,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403245517411109,0.047773672193106353,-0.14347870408,5.0,30.38278000167338,True,True
0.681,33.39995441514861,-92.89995942155241,-0.7207001759382038,0.0008123910823837832,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403248603698802,0.04777367828745671,-0.14347869798,5.0,31.837124002777273,True,True
0.73,33.401339516585665,-92.9011737998151,-0.7207178082131008,0.1075331185993282,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7403255413911334,0.04777369013697985,-0.14347868613,5.0,30.13821199783706,True,True
0.7789999999999999,33.40538714505755,-92.90472855986553,-0.7207789880362412,0.21089331172880083,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7402374913638227,0.04779131642532164,-0.14346105985,5.0,29.681305997655727,True,True
0.8300000000000001,33.42127657097595,-92.91869302225997,-0.7213692073599649,0.41187592618686597,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7395452699684798,0.04805188822674378,-0.14320048804,5.0,30.32954099762719,True,True
0.8799999999999999,33.43301310432999,-92.92901957434697,-0.7220195988048741,0.5049001159596943,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7389442148433236,0.048442715572186046,-0.1428096607,5.0,30.947998999181436,True,True
0.929,33.44684986388639,-92.94116663181856,-0.722814844505718,0.5732187354204099,32.934173,-93.47543,5.0,9047,0.9330651815181518,0.7372840172778335,0.04988835271793901,-0.14136402355,5.0,29.341179000766715,True,True
0.9770000000000001,33.47991928697276,-92.9702491983144,-0.7257803025997833,0.7495958920467026,33.052184000000004,-93.569346,5.0,9048,0.9331683168316832,0.7389257606731623,0.05477672223012764,-0.13630014866,5.0,27.621137000096496,True,True
1.029,33.50018949932097,-92.98840617875791,-0.7276695797493935,0.848511831977802,33.052184000000004,-93.569346,5.0,9048,0.9331683168316832,0.7336211579055019,0.05843254863791225,-0.13264432225,5.0,29.715450000367127,True,True
1.08,33.54658572377631,-93.0298489916016,-0.7323347666205904,1.0066280684787996,33.052184000000004,-93.569346,5.0,9048,0.9331683168316832,0.731849815282831,0.06074721254149962,-0.13032965834,5.0,30.228690997319063,True,True
1.129,33.573095920193865,-93.05375636804106,-0.7351781355905885,1.0946364629399978,33.052184000000004,-93.569346,5.0,9048,0.9331683168316832,0.7296848174595575,0.06309773550910913,-0.12513576641,5.0,29.346388000703882,True,True
1.179,33.63177381654378,-93.10721628776848,-0.7412861018351601,1.2493986412563578,33.169982,-93.661958,5.0,9049,0.9332714521452146,0.7248529540499735,0.07291355508474551,-0.11944042377,5.0,29.912089001300046,True,True
1.2309999999999999,33.66410222969303,-93.13657615611345,-0.7442121947907839,1.3235972496321653,33.169982,-93.661958,5.0,9049,0.9332714521452146,0.721481747142285,0.0758115782615496,-0.1165424006,5.0,31.095555001229513,True,True
1.279,33.73334436711858,-93.20077103563905,-0.751039452660341,1.4562390139628993,33.288132,-93.754545,5.0,9050,0.9333745874587459,0.7157704909743329,0.08265760864476857,-0.10926471658,5.0,29.984073000377975,True,True
1.329,33.77070877275447,-93.23581489424109,-0.7538214448477887,1.54435542340335,33.288132,-93.754545,5.0,9050,0.9333745874587459,0.7104961411294803,0.08621097877841599,-0.10571134645,5.0,29.172492999350652,True,True
1.381,33.85048016164995,-93.31131096599881,-0.7615647047035032,1.6872705095821168,33.406313,-93.847211,5.0,9051,0.9334777227722773,0.7020724638812658,0.0937163387783162,-0.098982735121,5.0,31.06931599904783,True,True
1.429,33.89278417677002,-93.35179479482137,-0.7652111794203657,1.7573266992735017,33.406313,-93.847211,5.0,9051,0.9334777227722773,0.6957495226650445,0.09751797195580192,-0.095181101944,5.0,29.163505998440087,True,True
1.4809999999999999,33.982005100531744,-93.43809448365865,-0.7721634247086316,1.8931732993683712,33.524688,-93.939676,5.0,9052,0.9335808580858086,0.6836633505742554,0.10641502636392186,-0.087852673219,5.0,31.501314999331953,True,True
1.528,34.02883198947592,-93.4838545650381,-0.7756126799022478,1.958964911595913,33.524688,-93.939676,5.0,9052,0.9335808580858086,0.6767146912667991,0.10984777761624143,-0.084419921966,5.0,28.846772998804227,True,True
1.5779999999999998,34.126671133902924,-93.58049905140416,-0.7828559163176962,2.086063659884302,33.643235,-94.031968,5.0,9053,0.9336839933993399,0.661496656209725,0.11841795597817928,-0.07664148965,5.0,28.34870000151568,True,True
1.629,34.177594384420246,-93.63135026227941,-0.7865053103388753,2.147569640979841,33.761978000000006,-94.12414100000001,5.0,9054,0.9337871287128713,0.6546355094165168,0.12432765714574368,-0.071373184202,5.0,29.76569400198059,True,True
1.678,34.28322439766635,-93.73799768789029,-0.7938312387862796,2.2668531243142267,33.880936,-94.215889,5.0,9055,0.9338902640264026,0.636207246752597,0.1354194977403429,-0.061168236625,5.0,28.35362900077598,True,True
1.728,34.337844348017775,-93.7937528309989,-0.7975372389245705,2.324590692441788,33.880936,-94.215889,5.0,9055,0.9338902640264026,0.6239768823513044,0.1390918809670052,-0.057495853398,5.0,28.006699001707602,True,True
1.7759999999999998,34.393611362037284,-93.85110394953041,-0.801262312494029,2.381209458550029,34.000335,-94.30713,5.0,9056,0.933993399339934,0.6010121772556142,0.15038792073585627,-0.047139813335,5.0,26.528379999945173,True,True
1.827,34.507964503674344,-93.97014153931126,-0.8098916948354014,2.475062191402508,34.120124,-94.398051,5.0,9057,0.9340965346534653,0.5893009746737576,0.15683094958909738,-0.040704447612,5.0,27.65040200029034,True,True
1.8769999999999998,34.56638958346481,-94.03170939208275,-0.8127170381915032,2.5214171969816617,34.24047,-94.489072,5.0,9058,0.9341996699669967,0.5616085202405146,0.16540574931999386,-0.030949153142,5.0,27.425470001617214,True,True
1.9289999999999998,34.68606006685567,-94.1590267325882,-0.8196434287125481,2.6337972851425655,34.24047,-94.489072,5.0,9058,0.9341996699669967,0.5469926112550568,0.1686432034699652,-0.027711698992,5.0,28.743358998326585,True,True
1.9780000000000002,34.7469076145647,-94.22426214436906,-0.8217883857259816,2.6428611924537826,34.360640000000004,-94.579874,5.0,9059,0.934302805280528,0.5319570774616953,0.1723371323046612,-0.019495308436,5.0,28.207414998178137,True,True
2.027,34.87020235232303,-94.35789904334727,-0.8296566173422121,2.6518458618610232,34.479834999999994,-94.670023,5.0,9060,0.9344059405940595,0.5007668870147174,0.17870401137438163,-0.013303661439,5.0,27.462338999612257,True,True
2.077,34.93249376168781,-94.42591839688596,-0.8309175583589206,2.749496598406122,34.599365999999996,-94.760281,5.0,9061,0.9345090759075908,0.4850397599984211,0.18324009415622955,-0.0077973255483,5.0,27.559160997043364,True,True
2.128,35.06068851601111,-94.56501818570443,-0.8221688448339111,2.8188770371832317,34.718590999999996,-94.85018000000001,5.0,9062,0.9346122112211221,0.45042950710582347,0.18085106043014765,-0.009180365226,5.0,28.24196000074153,True,True
2.177,35.126358934718965,-94.63566509192039,-0.8212464160757957,2.8561651781675224,34.8383,-94.939963,5.0,9063,0.9347153465346535,0.4359360799713287,0.18028126288885282,-0.0088976375654,5.0,27.101292998850113,True,True
2.229,35.26076719595015,-94.77959116990614,-0.8177327369468106,2.9374875921774297,34.958356,-95.0294,5.0,9064,0.9348184818481848,0.39861313840853413,0.18069556922951913,-0.0083279801047,5.0,29.26946400111774,True,True
2.279,35.32959507278362,-94.85292788165869,-0.8168266260509439,2.9797429088800396,35.0787,-95.118564,5.0,9065,0.9349216171617162,0.3847740159924998,0.1812478577935246,-0.0082318174045,5.0,29.79649199915002,True,True
2.327,35.470280381574874,-95.0026241281831,-0.8160821186930906,3.063455987430661,35.199332,-95.207504,5.0,9066,0.9350247524752475,0.3443358460055707,0.18218849690079786,-0.0070613400813,5.0,27.673905999108683,True,True
2.378,35.54209827752263,-95.07901241764448,-0.8163979693637091,3.1050275693914027,35.320334,-95.296312,5.0,9067,0.9351278877887789,0.32975215450355533,0.18423793477015193,-0.0031548909269,5.0,28.65358999770251,True,True
2.428,35.68794543174296,-95.23464528106183,-0.815982471960892,3.182808211524822,35.441594,-95.384826,5.0,9068,0.9352310231023102,0.2866058467466325,0.18695970361424363,0.0019283125746,5.0,28.73387100044056,True,True
2.48,35.76296178949426,-95.31430563967834,-0.8166078217006464,3.2199693271111345,35.563344,-95.473387,5.0,9069,0.9353341584158416,0.26930117926579655,0.18796803930971784,0.0041095784537,5.0,30.283945001428947,True,True
2.529,35.913061562350435,-95.47428057503727,-0.8190354515826729,3.264996794973218,35.684101,-95.560905,5.0,9070,0.9354372937293729,0.22515340934061015,0.1919871953013259,0.0074494275936,5.0,30.040468998777214,True,True
2.581,35.9893510686171,-95.55592529660663,-0.8196058316153781,3.3027674105785683,35.805278,-95.64807900000001,5.0,9071,0.9355404290429042,0.20450718528325398,0.19740847942272755,0.0093986290847,5.0,31.545887999527622,True,True
2.63,36.14431776324532,-95.72167714924144,-0.8194257616194933,3.375611627873778,35.927166,-95.735029,5.0,9072,0.9356435643564357,0.15944454005932357,0.2008550842905219,0.0096674627264,5.0,31.009553997137118,True,True
2.6790000000000003,36.22303048640013,-95.8059039988787,-0.8193698998576796,3.4100237442874883,36.049278,-95.821738,5.0,9073,0.935746699669967,0.13657282194974665,0.2029007175074824,0.010467605092,5.0,29.573804000392556,True,True
2.729,36.30255713828896,-95.89102350091109,-0.8193231324097789,3.4489129076819776,36.294256,-95.994434,5.0,9075,0.9359529702970297,0.10374314540590028,0.2095256330290889,0.012987019922,5.0,29.8671540003852,True,True
2.779,36.464296389208045,-96.0640612914597,-0.8188721115458951,3.518203465940333,36.294256,-95.994434,5.0,9075,0.9359529702970297,0.06485394108906166,0.20935298423177562,0.012814371125,5.0,29.248706003272673,True,True
2.828,36.54638131293242,-96.15180120256422,-0.8184547161762413,3.551340889744769,36.417396000000004,-96.079971,5.0,9076,0.9360561056105611,0.0397164385256306,0.21356823173601214,0.015439407806,5.0,28.792060998966917,True,True
2.879,36.71311112995195,-96.32966232080055,-0.8171599296668709,3.6002139071090546,36.664683000000004,-96.250034,5.0,9078,0.9362623762376238,-0.036721060530008315,0.2174090593011737,0.018775674545,5.0,29.464409002684988,True,True
2.93,36.797205758972915,-96.4192636593604,-0.8166138490830479,3.632899068882666,36.789054,-96.33504599999999,5.0,9079,0.9363655115511551,-0.07613345856361642,0.21696261740826017,0.019666907866,5.0,30.688994000229286,True,True
2.979,36.966258479381516,-96.60047924273833,-0.8143931557943623,3.658365885588678,36.912752000000005,-96.41981899999999,5.0,9080,0.9364686468646864,-0.09143437889184172,0.21562829594523514,0.01926506253,5.0,29.517969996959437,True,True
3.029,37.05211607252411,-96.69164974625542,-0.8132388482169666,3.7002860428915127,37.036164,-96.50421,5.0,9081,0.9365717821782178,-0.11897289149362057,0.21487450950576115,0.019271354086,5.0,29.290983999089804,True,True
3.084,37.226645562396826,-96.87551846045596,-0.8103903390315194,3.75502022882306,37.282787,-96.672537,5.0,9083,0.9367780528052805,-0.18154700717583985,0.21468677086570764,0.07939766171,5.0,34.33368900005007,True,True
3.1310000000000002,37.31499120475225,-96.96834608926451,-0.8104111398662271,3.7795186137380528,37.282787,-96.672537,5.0,9083,0.9367780528052805,-0.1995501902593307,0.21349373678335537,0.0210139471,5.0,31.507776999205817,True,True
3.18,37.49368089800204,-97.15538079163616,-0.8068998579032453,3.826512276753018,37.530642,-96.839927,5.0,9085,0.9369843234323433,-0.25471640816205543,0.21699024431725444,0.1019816468,5.0,30.793138001172338,True,True
3.233,37.58405036118874,-97.24947476965153,-0.8043710126604804,3.8496590844049923,37.654959000000005,-96.92327,5.0,9086,0.9370874587458746,-0.2826411961799461,0.21722622022091054,0.14382749871,5.0,33.48870699846884,True,True
3.282,37.76731415677302,-97.43850067552575,-0.7969206459023479,3.8963589697830443,37.904269,-97.089495,5.0,9088,0.9372937293729373,-0.3422962943315025,0.21377256555944424,0.30441529272,5.0,32.12654600065434,True,True
3.334,37.86093348174271,-97.53391362980096,-0.7928871624174095,3.926684766360321,38.029492,-97.172812,5.0,9089,0.9373968646864687,-0.37326625052605367,0.21123835443298633,0.3087425098,5.0,34.30707000006805,True,True
3.402,38.04867891367625,-97.72195714625265,-0.7783963409615701,3.935850805002235,38.154688,-97.25560300000001,5.0,9090,0.9375,-0.4214108090560417,0.2051942351815823,0.32622565993,5.0,52.812202000495745,True,True
3.436,38.14411365351943,-97.81565821286152,-0.7713007434360502,3.9183506396784575,38.279334000000006,-97.337129,5.0,9091,0.9376031353135313,-0.4482871384846084,0.1984594592688893,0.32653420216,5.0,33.60079699996277,True,True
3.483,38.33933998375509,-98.00131880030017,-0.7494525918547343,3.9845460893309026,38.529576,-97.500711,5.0,9093,0.937809405940594,-0.4997333143678178,0.1843758282077177,0.3267709648,5.0,33.62621400083299,True,True
3.531,38.43938375342102,-98.09325266442654,-0.7371289933661418,4.005989334772143,38.655107,-97.58251700000001,5.0,9094,0.9379125412541254,-0.5245033426803577,0.17236920302916126,0.32321650568,5.0,31.15062799770385,True,True
3.592,38.64412910074086,-98.27411658879427,-0.7084096805521658,4.034736384737768,38.906801,-97.745525,5.0,9096,0.9381188118811881,-0.5712637009557038,0.15338515750689163,0.3775907379,5.0,42.66054700201494,True,True
3.6310000000000002,38.749126717322135,-98.36272596384674,-0.6924164643831158,4.048773460375135,38.906801,-97.745525,5.0,9096,0.9381188118811881,-0.5869169686023423,0.13817475598147722,0.32037385474,5.0,31.395827001688303,True,True
3.682,38.85591033390143,-98.44981303166179,-0.6748517534937256,4.062287521599822,39.033291999999996,-97.826183,5.0,9097,0.9382219471947195,-0.6053141124541428,0.12619216336491945,0.31232145587,5.0,32.94475800066721,True,True
3.742,39.07508287267438,-98.6190342741833,-0.6371443860403806,4.055654053584826,39.287158000000005,-97.986475,5.0,9099,0.9384282178217822,-0.6362557008668026,0.09645486156403305,0.31584921759,5.0,42.121155998756876,True,True
3.785,39.18667882531678,-98.70114393040959,-0.61767585310992,4.075765518262208,39.414963,-98.066249,5.0,9100,0.9385313531353136,-0.6488856870382005,0.07779426525668143,0.29838865241,5.0,35.45971900166478,True,True
3.8360000000000003,39.41655504207506,-98.85759305169547,-0.5752365793418103,4.105286148520539,39.668546,-98.225139,5.0,9102,0.9387376237623762,-0.666357079366296,0.03810777593289805,0.26094514892,5.0,36.34705099830171,True,True
3.8840000000000003,39.534610392551215,-98.93233070981016,-0.5537794265999376,4.113508022670164,39.795010999999995,-98.303997,5.0,9103,0.9388407590759076,-0.6705948855618443,0.018129153708581036,0.24275777864,5.0,34.166646997618955,True,True
3.934,39.77658725654016,-99.07465226938065,-0.5098593014908472,4.145021319038557,40.049136,-98.461721,5.0,9105,0.9390470297029703,-0.6711563953101254,-0.02166394085310852,0.20230072428,5.0,34.05436700268183,True,True
3.982,39.90055970429791,-99.14229204948244,-0.48837628310806674,4.1658464481034745,40.176519,-98.540239,5.0,9106,0.9391501650165016,-0.6674900313240199,-0.04166569071768533,0.18112934419,5.0,32.41322199755814,True,True
