t,x,y,yaw,speed_measured,x_ref,y_ref,speed_ref,path_index,progress,path_dist_m,path_remaining_m,cte,heading_error,steering_cmd,speed_cmd,compute_time_ms,did_compute,controller_success
0.03699999999999998,33.4,-92.9,-0.807966,-1.2843825392784754e-17,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.610748147816102,0.08882334619912546,0.13143683537,5.0,37.37017900130013,True,True
0.08300000000000002,33.39997362745571,-92.89997048492715,-0.8079665370391504,0.00961107077301712,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.610748147816102,0.08882334619912546,0.12120746842,5.0,34.38480699696811,True,True
0.137,33.40000586369076,-92.9000060421012,-0.8079661963230721,-0.00011030309256310802,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.610787433701582,0.08882388323827595,0.11303102706,5.0,37.19206600362668,True,True
0.185,33.39970867514637,-92.89970062602278,-0.8079576785085006,-0.012155330097305943,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6108503078978953,0.08880791078799,0.106381978,5.0,35.70756400586106,True,True
0.23399999999999999,33.399348114209815,-92.8993551207173,-0.8079610657417314,-0.014859510078187803,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6111645502511969,0.08881502470762603,0.10110453967,5.0,34.8198110004887,True,True
0.28200000000000003,33.39840382284138,-92.89839327728858,-0.8079571302357907,-0.020648711522950947,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.612285555549916,0.0888116878396259,0.096843674389,5.0,32.42756899999222,True,True
0.33199999999999996,33.39783756691647,-92.89780327755935,-0.8079530910750908,-0.02336442002622178,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6130075235596013,0.08881447643491613,0.093440957449,5.0,32.37842800444923,True,True
0.385,33.396515818180674,-92.89642590870501,-0.8079519166229111,-0.02859837886371261,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6147284573888991,0.0888117383206013,0.091660405593,5.0,35.41895400121575,True,True
0.43400000000000005,33.395762851313286,-92.89564088935454,-0.8079519192465403,-0.031142731126157182,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6157240855659505,0.0888092628220365,0.091657930094,5.0,34.28123299818253,True,True
0.485,33.394078094603515,-92.89388374141453,-0.8079497568986805,-0.03610680949681541,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.617977854182778,0.088807719768079,0.09165638704,5.0,35.5415140002151,True,True
0.533,33.39315471442327,-92.89285574116329,-0.8079402246326903,-0.03909267379859757,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6192329630856352,0.08880710309780593,0.09165577037,5.0,33.594756001548376,True,True
0.583,33.392200730297404,-92.89187461655166,-0.8079732856731737,-0.03853085282828618,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6206049921202887,0.08879757083181561,0.091679299144,5.0,33.86370999942301,True,True
0.633,33.3903826235982,-92.8899725037624,-0.8079594126993657,-0.03684810001342115,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.623293915621029,0.08879884135271343,0.091647508625,5.0,33.56717400311027,True,True
