t,x,y,yaw,speed_measured,x_ref,y_ref,speed_ref,path_index,progress,path_dist_m,path_remaining_m,cte,heading_error,steering_cmd,speed_cmd,compute_time_ms,did_compute,controller_success
0.05399999999999999,33.4,-92.9,-0.7207000000000001,2.5574028494203187e-17,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.610748147816102,0.0015573461991253978,0.0023190435495,5.0,54.58875000476837,True,True
0.10300000000000004,33.40000376636985,-92.90000335291819,-0.7206993564273152,0.0005216824230656557,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.610748147816102,0.0015573461991253978,0.0023190435495,5.0,48.474422001163475,True,True
0.15199999999999997,33.40000968827439,-92.90000827115976,-0.7206999013841137,9.011546209818756e-05,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6107431053985029,0.001556702626440476,0.0023183999768,5.0,49.04900699330028,True,True
0.201,33.399993266282195,-92.89999375220417,-0.7207001522928137,-0.0014024869730075472,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.610735410138529,0.001557247583239274,0.0023189449336,5.0,48.30643700552173,True,True
4.112,33.39847142735043,-92.89865541430302,-0.7207007776257172,0.00023785409909416285,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.610757329805904,0.0015574984919393131,0.0023191958423,5.0,3916.345571997226,True,True
4.162,33.40043442652399,-92.90037944630727,-0.7206996767244875,0.12774682415979005,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6127839345148847,0.00155812382484255,0.0023198211752,5.0,49.24583500542212,True,True
4.210999999999999,33.404986496004064,-92.90437753050925,-0.7206948269354725,0.23019978451506043,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.610171341772233,0.0015570229236128164,0.002318720274,5.0,48.64831699524075,True,True
4.2589999999999995,33.41213222887466,-92.9106535323288,-0.7206838237221748,0.33081153076329584,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.6041127981379883,0.0015521731345979894,0.002313870485,5.0,47.56923900276888,True,True
4.309,33.4340173482831,-92.92987242471226,-0.7206400411380451,0.5221080513974785,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.5946023016997277,0.0015411699213001562,0.0022852416485,5.0,47.936194998328574,True,True
4.362,33.44831132076856,-92.94239641785657,-0.7205004507214886,0.5913966512960711,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.5654763178762938,0.0014973873371704194,0.0022590846876,5.0,50.29804300284013,True,True
4.415,33.48250883276898,-92.97228086032193,-0.7206738537041224,0.7687117550636844,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.546471896113716,0.0013577969206139961,0.002119494271,5.0,52.79046599753201,True,True
4.467,33.52603250197946,-93.01049522818573,-0.7205639802388214,0.9275124486091273,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.5010566246998447,0.001531199903247682,0.0022928972536,5.0,51.015946999541484,True,True
4.514,33.55092545296574,-93.03242706720334,-0.7204162787385066,1.0234242972528458,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.4431373437713924,0.0014213264379465684,0.0021830237883,5.0,47.32236699783243,True,True
4.563,33.57811139104226,-93.05632399260351,-0.720393591333726,1.0914258527670355,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.4099612216564061,0.0012736249376317232,0.002035322288,5.0,48.479310993570834,True,True
4.611,33.63813656581262,-93.10901745815859,-0.7201523550340034,1.2511017013430494,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.373765451475817,0.0012509375328515482,0.0020126348832,5.0,47.136679000686854,True,True
4.662,33.67078721572902,-93.13749676412885,-0.7200616192522281,1.3063727068451874,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.2938929729326338,0.0010097012331287125,0.0017713985835,5.0,50.704833993222564,True,True
4.712,33.74242860018596,-93.20038291356067,-0.7202002225196784,1.4606995688715259,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,1.2505671270429444,0.0009189654513535039,0.0016806628017,5.0,49.038616998586804,True,True
4.761,33.78058434546711,-93.23377924280105,-0.7198028566808691,1.543665142753404,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-1.155240626322631,0.001057568718803914,0.0018192660692,5.0,48.86566399363801,True,True
4.813,33.86323804782308,-93.30627668090516,-0.7198019904587071,1.690586866701218,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-1.104533864897785,0.0006602028799944648,0.0014219002304,5.0,51.24358199827839,True,True
4.864,33.907346267289704,-93.34494247499867,-0.7196685401734775,1.7610365669358514,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.9945906888190565,0.0006593366578324655,0.0014210340082,5.0,51.295379002112895,True,True
4.9159999999999995,34.00091385873195,-93.42693058844168,-0.7195275553704648,1.8983465235454524,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.9359342589827983,0.0005258863726029794,0.001287583723,5.0,51.76455699256621,True,True
4.967,34.05029471244052,-93.47020122019664,-0.7195494399487065,1.9648658393582246,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.8115279112180912,0.00038490156959003485,0.00114659892,5.0,50.10088499693666,True,True
5.016,34.15406107454222,-93.56114173853763,-0.7197295190532204,2.093617182061548,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.7458711196287146,0.00040678614783207223,0.0011684834982,5.0,49.05539900937583,True,True
5.068,34.20836952628648,-93.60875329323294,-0.7198495531229201,2.1558909541510713,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.6078942327090404,0.0005868652523455253,0.0013485626027,5.0,51.54357400897425,True,True
5.12,34.32165373020153,-93.70811334578053,-0.720172263576185,2.276393877387649,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.5356705488064843,0.0007068993220453734,0.0014685966724,5.0,50.92887399950996,True,True
5.171,34.380559838993555,-93.75980434102789,-0.7203385047630472,2.334686046142348,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.38498657784660667,0.0010296097753101918,0.0017913071257,5.0,51.16888300108258,True,True
5.2219999999999995,34.50287897726277,-93.86720141706769,-0.7210371740115313,2.4522573643883154,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.30661664464656624,0.0011958509621727842,0.0019575483126,5.0,50.334923012997024,True,True
5.271999999999999,34.56542718344025,-93.922257042569,-0.7223849852645262,2.4840281282472856,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.14384220092228733,0.001894520210656836,0.002656217561,5.0,49.79244800051674,True,True
5.321,34.69452606433956,-94.03609264017662,-0.7218901111658985,2.5653344119931214,34.611618,-93.961363,5.0,0,0.0,0.0,1307.2218692805643,-0.06052162787840476,0.0032423314636513823,0.004004028814,5.0,50.046733013004996,True,True
5.3709999999999996,34.760455335440874,-94.09413431391489,-0.7225496140384652,2.610434525539721,34.696177,-94.03545,5.0,6,8.600220093833087e-05,0.11242395787284758,1307.1094453226915,-0.0017716023683399709,0.007558640397607785,0.0035136648231,5.0,49.49462000513449,True,True
5.422,34.895671247506804,-94.21340306250015,-0.7224260600577417,2.6955656333075693,34.764097,-94.094509,5.0,11,0.0001548554151758528,0.2024303852943962,1307.01943889527,-0.0036608892940880803,0.00551395875388927,0.0041615659226,5.0,49.32029500196222,True,True
5.47,34.96444506152856,-94.27413883477746,-0.7247013711359415,2.7186521304779276,34.901309000000005,-94.214467,5.0,21,0.00029427745373229123,0.3846859231550505,1306.8371833574092,-0.0057372655662932615,0.0028783276691535242,0.002172310256,5.0,47.79598300228827,True,True
5.523,35.104557882609846,-94.39808109406447,-0.7237202885559307,2.795860877180748,34.969478,-94.27415699999999,5.0,26,0.0003635915796813146,0.4752948644456813,1306.7465744161186,-0.005032971252913671,0.01036410884058414,0.0051621181677,5.0,52.78739100322127,True,True
5.571,35.176453066589964,-94.46158374744134,-0.7227021201435407,2.843304390633733,35.109534000000004,-94.396621,5.0,36,0.0005059143485244837,0.6613423003740345,1306.5605269801902,-0.00518590579915652,0.005347285967508775,0.006337310934,5.0,47.694131993921474,True,True
5.619,35.24952493580489,-94.52603619043407,-0.7214557467412328,2.885525773424267,35.184093,-94.4618,5.0,41,0.0005816719917560878,0.760374348371542,1306.4614949321929,-0.007642993371635534,0.004334666945789767,0.0040994507811,5.0,47.773881000466645,True,True
